"N0","class","proc","category","area","ITEMS","VOLUME","","SPEK","UNIT PRICE","TOTAL PRICE","UNIT PRICE","TOTAL PRICE","d","%"
"2","AR","B","KARPET","1","Pekerjaan Pasang Karpet + Material Karpet Tile","55.00","m²",""," Rp 393,750 "," Rp 21,656,250 "," Rp 315,000.00 "," Rp 17,325,000 "," Rp 4,331,250.00 ","0.77%"
"3","AR","B","KARPET","1","Pekerjaan Pasang Skirting ","32.00","m'",""," Rp 109,500 "," Rp 3,504,000 "," Rp 75,000.00 "," Rp 2,400,000 "," Rp 1,104,000.00 ","0.12%"
"","","","","1","Access","","","","","","","","",""
"1","AR","B","VINYL","1","Pekerjaan Pasang Plywood Underlayer Vinyl","65.00","m²",""," Rp 65,700 "," Rp 4,270,500 "," Rp 45,000.00 "," Rp 2,925,000 "," Rp 1,345,500.00 ","0.15%"
"2","AR","B","VINYL","1","Pekerjaan Pasang Vinyl Motif ","65.00","m²",""," Rp 554,800 "," Rp 36,062,000 "," Rp 380,000.00 "," Rp 24,700,000 "," Rp 11,362,000.00 ","1.28%"
"","","","","1","Toilet","","","","","","","","",""
"1","AR","M","","1","Screeding + Waterproofing","36.00","m2",""," Rp 379,600 "," Rp 13,665,600 "," Rp 260,000.00 "," Rp 9,360,000 "," Rp 4,305,600.00 ","0.49%"
"2","AR","M","","1","Lantai Keramik HT 60x60cm","36.00","m2",""," Rp 540,200 "," Rp 19,447,200 "," Rp 370,000.00 "," Rp 13,320,000 "," Rp 6,127,200.00 ","0.69%"
"","","","","1","Janitor","","","","","","","","",""
"1","AR","M","","1","Lantai Keramik HT 60x60cm","4.90","m2",""," Rp 540,200 "," Rp 2,646,980 "," Rp 370,000.00 "," Rp 1,813,000 "," Rp 833,980.00 ","0.09%"
"2","AR","M","","1","Tanggul Keramik HT 60x60cm","1.20","m2",""," Rp 540,200 "," Rp 648,240 "," Rp 370,000.00 "," Rp 444,000 "," Rp 204,240.00 ","0.02%"
"3","AR","M","","1","Pekerjaan Pasang Plint Keramik","12.00","m'",""," Rp 146,000 "," Rp 1,752,000 "," Rp 100,000.00 "," Rp 1,200,000 "," Rp 552,000.00 ","0.06%"
"","","","","1","Area Wudhu","","","","","","","","",""
"1","AR","M","","1","Screeding + Waterproofing","15.00","m2",""," Rp 379,600 "," Rp 5,694,000 "," Rp 260,000.00 "," Rp 3,900,000 "," Rp 1,794,000.00 ","0.20%"
"2","AR","M","","1","Lantai Keramik HT 60x60cm","15.00","m2",""," Rp 540,200 "," Rp 8,103,000 "," Rp 370,000.00 "," Rp 5,550,000 "," Rp 2,553,000.00 ","0.29%"
"","","","","1","Musholla","","","","","","","","",""
"1","AR","M","","1","Raise Level Lantai t=10cm","29.00","m2",""," Rp 408,800 "," Rp 11,855,200 "," Rp 280,000.00 "," Rp 8,120,000 "," Rp 3,735,200.00 ","0.42%"
"2","AR","B","VINYL","1","Pekerjaan Pasang Plywood Underlayer Vinyl","29.00","m2",""," Rp 65,700 "," Rp 1,905,300 "," Rp 45,000.00 "," Rp 1,305,000 "," Rp 600,300.00 ","0.07%"
"3","AR","B","VINYL","1","Pekerjaan Pasang Vinyl Motif ","29.00","m2",""," Rp 554,800 "," Rp 16,089,200 "," Rp 380,000.00 "," Rp 11,020,000 "," Rp 5,069,200.00 ","0.57%"
"4","AR","B","VINYL","1","Pekerjaan Pasang Plint finish kayu","24.00","m'",""," Rp 146,000 "," Rp 3,504,000 "," Rp 100,000.00 "," Rp 2,400,000 "," Rp 1,104,000.00 ","0.12%"
"2.1.4","","","","","Pekerjaan Partisi Kaca, Pintu, Jendela","","","","","","","","0",""
"","","","","","Holding Room","","","","","","","","0",""
"1","AR","B","KACA","1","Pekerjaan Pasang Pintu Kaca","1.00","unit",""," Rp 8,906,000 "," Rp 8,906,000 "," Rp 6,100,000.00 "," Rp 6,100,000 "," Rp 2,806,000.00 ","0.32%"
"","","","","1","   - pintu kaca tempered 10mm dgn floor hinge","","","","","","","","0",""
"","","","","1","   - handle pintu dekkson","","","","","","","","0",""
"","","","","1","   - lockset dekkson","","","","","","","","0",""
"","","","","1","   - door stopper dekkson","","","","","","","","0",""
"","","","","1","   - sticker sandblast","","","","","","","","0",""
"2","AR","B","KACA","1","Pekerjaan Pasang Partisi Kaca Keliling","1.00","set",""," Rp 61,779,900 "," Rp 61,779,900 "," Rp 42,315,000.00 "," Rp 42,315,000 "," Rp 19,464,900.00 ","2.20%"
"","","","","1","- kaca tempered 10 mm","37.00","m²","","",""," Rp 35,520,000.00 ","","0","0.00%"
"","","","","1","- kusen aluminium 3' ex. Alexindo","43.20","m","","",""," Rp 6,480,000.00 ","","0","0.00%"
"","","","","1","- sticker sandblast","0.00","m²","","",""," Rp 315,000.00 ","","0","0.00%"
"","","","","1","Opening Jendela Belakang","","","","","","","","0",""
"3","AR","B","KACA","1","Perimeter Kaca Modul A","2.00","set",""," Rp 23,358,540 "," Rp 46,717,080 "," Rp 15,999,000.00 "," Rp 31,998,000 "," Rp 14,719,080.00 ","1.66%"
"","","","","1","- kaca tempered 10 mm","13.65","m²","","",""," Rp 13,104,000.00 ","","0","0.00%"
"","","","","1","- kusen aluminium 3' ex. Alexindo","17.20","m","","",""," Rp 2,580,000.00 ","","0","0.00%"
"","","","","1","- sticker sandblast","0.00","m²","","",""," Rp 315,000.00 ","","0","0.00%"
"4","AR","B","KACA","1","Perimeter Kaca Modul B","2.00","set",""," Rp 16,636,992 "," Rp 33,273,984 "," Rp 11,395,200.00 "," Rp 22,790,400 "," Rp 10,483,584.00 ","1.18%"
"","","","","1","- kaca tempered 10 mm","9.49","m²","","",""," Rp 9,115,200.00 ","","0","0.00%"
"","","","","1","- kusen aluminium 3' ex. Alexindo","13.10","m","","",""," Rp 1,965,000.00 ","","0","0.00%"
"","","","","1","- sticker sandblast","0.00","m²","","",""," Rp 315,000.00 ","","0","0.00%"
"","","","","1","Akses","","","","","","","","0",""
"5","AR","M","","1","Pekerjaan Pasang Pintu Akses Samping","1.00","unit",""," Rp 4,599,000 "," Rp 4,599,000 "," Rp 3,150,000.00 "," Rp 3,150,000 "," Rp 1,449,000.00 ","0.16%"
"","","","","1","Emergency Exit","","","","","","","","",""
"6","AR","M","","1","Pekerjaan Pasang Pintu Darurat","1.00","unit",""," Rp 4,088,000 "," Rp 4,088,000 "," Rp 2,800,000.00 "," Rp 2,800,000 "," Rp 1,288,000.00 ","0.15%"
"","","","","1","Storage Room","","","","","","","","",""
"7","AR","B","KACA","1","Pekerjaan Pasang Pintu Geser Storage","2.00","unit",""," Rp 4,599,000 "," Rp 9,198,000 "," Rp 3,150,000.00 "," Rp 6,300,000 "," Rp 2,898,000.00 ","0.33%"
"","","","","1","Janitor","","","","","","","","",""
"8","AR","B","KACA","1","Pekerjaan Pasang Pintu Janitor","1.00","unit",""," Rp 4,599,000 "," Rp 4,599,000 "," Rp 3,150,000.00 "," Rp 3,150,000 "," Rp 1,449,000.00 ","0.16%"
"","","","","1","Toilet","","","","","","","","",""
"9","AR","B","KACA","1","Pekerjaan Pasang Pintu Toilet","2.00","unit",""," Rp 4,927,500 "," Rp 9,855,000 "," Rp 3,375,000.00 "," Rp 6,750,000 "," Rp 3,105,000.00 ","0.35%"
"2.2","","","","","LANTAI 2","","","","","","","","0",""
"2.2.1","","","","2","Pekerjaan Partisi Hebel, Gypsum","","","","","","","","0",""
"","","","","2","Jendela Perimeter Mezzanine","","","","","","","","0",""
"1","AR","M","","2","Struktur Kanal C 100","115.00","m",""," Rp 458,805 "," Rp 52,762,575 "," Rp 314,250.00 "," Rp 36,138,750 "," Rp 16,623,825.00 ","1.88%"
"2","AR","B","GYPSUM","2","Pasangan Gypsum 1 sisi Dobel Rangka Hollow","41.00","m²",""," Rp 347,480 "," Rp 14,246,680 "," Rp 238,000.00 "," Rp 9,758,000 "," Rp 4,488,680.00 ","0.51%"
"3","AR","B","CAT","2","Pengecatan Dinding","41.00","m²","Dulux Pentalite"," Rp 65,700 "," Rp 2,693,700 "," Rp 35,000.00 "," Rp 1,435,000 "," Rp 1,258,700.00 ","0.10%"
"4","AR","M","","2","Plat Biru Aluminium","41.00","m²",""," Rp 277,400 "," Rp 11,373,400 "," Rp 190,000.00 "," Rp 7,790,000 "," Rp 3,583,400.00 ","0.40%"
"","","","","2","General Area","","","","","","","","",""
"1","AR","M","","2","Perapihan Dinding ex-bongkaran","5.00","m²",""," Rp 160,600 "," Rp 803,000 ","0","0"," Rp 803,000.00 ","0.03%"
"2","AR","M","","2","Plester - Aci Dinding","90.60","m²",""," Rp 175,200 "," Rp 15,873,120 "," Rp 120,000.00 "," Rp 10,872,000 "," Rp 5,001,120.00 ","0.56%"
